,PMID,Observational_study_characteristics
17156,21486272,prospective
17157,22187768,prospective
17158,21158330,case-control studies
17159,21158330,cohort studies
17160,21158330,case-control
17161,21158330,cohort
17162,21158330,prospective
17181,21702297,case-control studies
17182,21702297,cohort studies
17183,21702297,case-control
17184,21702297,cohort
17191,22010587,cohort studies
17192,22010587,longitudinal studies
17193,22010587,cohort
17194,22010587,longitudinal
17201,21781475,cohort
17205,20387612,follow-up studies
17214,20467362,prospective
17218,22145467,retrospective studies
17219,22145467,follow-up studies
17220,22145467,retrospective
17221,21674672,prospective studies
17222,21674672,prospective
17228,22040641,case-control studies
17229,22040641,cross-sectional studies
17230,22040641,case-control
17231,22040641,cross-sectional
17232,21811047,retrospective studies
17233,21811047,retrospective
17236,21519320,retrospective studies
17237,21519320,retrospective
17238,21867389,prospective
17245,21190447,follow-up studies
17248,21160209,case-control studies
17249,21160209,prospective studies
17250,21160209,case-control
17251,21160209,prospective
17254,22322535,prospective
17256,20498601,follow-up studies
17257,20090474,retrospective studies
17258,20090474,retrospective
17259,20090474,cross-sectional
17261,21077724,prospective
17267,20107949,longitudinal studies
17268,20107949,longitudinal
17271,21541652,case-control studies
17272,21541652,retrospective studies
17273,21541652,follow-up studies
17274,21541652,case-control
17275,21541652,retrospective
17276,21365410,retrospective studies
17277,21365410,follow-up studies
17278,21365410,retrospective
17279,21717872,prospective studies
17280,21717872,prospective
17282,20116409,case-control studies
17283,20116409,case-control
17287,20429634,cross-sectional studies
17288,20429634,cohort
17289,20429634,cross-sectional
17291,21186954,case-control studies
17292,21186954,prospective studies
17293,21186954,case-control
17294,21186954,cohort
17295,21186954,prospective
17303,21367390,retrospective studies
17304,21367390,retrospective
17305,21519910,cross-sectional studies
17306,21519910,cross-sectional
17312,21815908,case-control studies
17313,21815908,case-control
17315,20405165,prospective studies
17316,20405165,prospective
17321,20584712,retrospective studies
17322,20584712,retrospective
17324,21875425,cross-sectional studies
17325,21875425,cross-sectional
17329,21047700,prospective studies
17330,21047700,prospective
17339,21457114,retrospective studies
17340,21457114,retrospective
17341,21457114,prospective
17351,20887974,cross-sectional studies
17352,20887974,prospective
17353,20887974,cross-sectional
17354,20151820,longitudinal studies
17355,20151820,cross-sectional studies
17356,20151820,longitudinal
17357,20151820,cross-sectional
17363,20733265,prospective
17373,20349666,prospective studies
17374,20349666,prospective
17377,21834677,retrospective studies
17378,21834677,retrospective
17379,21834677,cohort
17383,21283972,case-control studies
17384,21283972,cross-sectional studies
17385,21283972,case-control
17386,21283972,cross-sectional
17388,20033406,retrospective studies
17389,20033406,retrospective
17392,21512661,prospective
17393,20103030,cohort studies
17394,20103030,cross-sectional studies
17395,20103030,cohort
17396,20103030,cross-sectional
17398,21836341,retrospective studies
17399,21836341,follow-up studies
17400,21836341,cross-sectional studies
17401,21836341,retrospective
17402,21836341,cross-sectional
17404,22132844,retrospective studies
17405,22132844,retrospective
17409,21915479,case-control studies
17410,21915479,prospective studies
17411,21915479,cross-sectional studies
17412,21915479,case-control
17413,21915479,prospective
17414,21915479,cross-sectional
17418,20502367,retrospective studies
17419,20502367,retrospective
17420,20191374,follow-up studies
17422,21140671,cross-sectional studies
17423,21140671,cross-sectional
17424,21598215,retrospective studies
17425,21598215,retrospective
17432,21105480,retrospective studies
17433,21105480,retrospective
17435,20236675,retrospective
17439,20646375,prospective studies
17440,20646375,prospective
17443,21569461,retrospective studies
17444,21569461,retrospective
17445,21174592,prospective studies
17446,21174592,prospective
17449,21326131,retrospective studies
17450,21326131,retrospective
17456,21879423,case-control studies
17457,21879423,retrospective studies
17458,21879423,case-control
17459,21879423,retrospective
17466,20037894,follow-up studies
17475,20090475,retrospective studies
17476,20090475,retrospective
17482,20941748,case-control studies
17483,20941748,case-control
17484,20941748,cohort
17489,20467367,retrospective
17490,20467367,prospective
17492,21321841,prospective
17493,20148910,case-control studies
17494,20148910,case-control
17495,20148910,cohort
17498,20061414,retrospective studies
17499,20061414,retrospective
17500,20061414,cohort
17505,22057994,case-control studies
17506,22057994,case-control
17508,20929405,retrospective studies
17509,20929405,follow-up studies
17510,20929405,retrospective
17513,20442750,case-control
17517,21378091,cohort studies
17518,21378091,cohort
17522,21307958,case-control studies
17523,21307958,case-control
17528,21785378,retrospective studies
17529,21785378,retrospective
17531,21052505,retrospective studies
17532,21052505,retrospective
17535,21951564,retrospective studies
17536,21951564,retrospective
17540,22325220,follow-up studies
17541,21810497,prospective studies
17542,21810497,prospective
17546,21950230,prospective
17549,21704580,retrospective studies
17550,21704580,retrospective
17554,20352109,case-control studies
17555,20352109,cohort studies
17556,20352109,case-control
17557,20352109,cohort
17561,22029718,follow-up studies
17562,21717402,retrospective studies
17563,21717402,retrospective
17564,21394999,follow-up studies
17567,20926009,case-control studies
17568,20926009,case-control
17572,21872937,retrospective studies
17573,21872937,retrospective
17574,21872937,cohort
17576,21383547,retrospective studies
17577,21383547,retrospective
17578,21383547,cohort
17585,21283953,case-control studies
17586,21283953,case-control
17590,21345453,retrospective studies
17591,21345453,retrospective
17602,22159057,follow-up studies
17605,20812826,retrospective studies
17606,20812826,retrospective
17609,21247850,retrospective studies
17610,21247850,retrospective
17612,22000142,follow-up studies
17613,21869485,case-control studies
17614,21869485,case-control
17616,20812832,follow-up studies
17617,20418655,prospective studies
17618,20418655,prospective
17621,21631971,cross-sectional studies
17622,21631971,cross-sectional
17623,20394549,cohort
17632,21498614,prospective studies
17633,21498614,prospective
17634,21232731,prospective studies
17635,21232731,cross-sectional studies
17636,21232731,prospective
17637,21232731,cross-sectional
17638,20884055,cross-sectional studies
17639,20884055,cross-sectional
17641,21635163,retrospective studies
17642,21635163,retrospective
17643,20736873,retrospective studies
17644,20736873,retrospective
17646,22161415,retrospective
17647,22161415,cohort
17649,20824980,cross-sectional studies
17650,20824980,cross-sectional
17653,20696284,prospective studies
17654,20696284,prospective
17658,20795858,prospective studies
17659,20795858,prospective
17661,21715532,case-control studies
17662,21715532,case-control
17663,21206137,retrospective studies
17664,21206137,retrospective
17670,20549894,retrospective studies
17671,20549894,retrospective
17674,20393724,retrospective
17675,20210668,case-control studies
17676,20210668,case-control
17677,20210668,cohort
17680,21216797,retrospective studies
17681,21216797,retrospective
17682,20305505,retrospective studies
17683,20305505,follow-up studies
17684,20305505,retrospective
17688,21295808,retrospective studies
17689,21295808,retrospective
17690,21295808,prospective
17691,21212469,retrospective studies
17692,21212469,retrospective
17693,20465438,prospective studies
17694,20465438,prospective
17695,21219114,case-control studies
17696,21219114,cohort studies
17697,21219114,case-control
17698,21219114,cohort
17699,21344449,case-control
17700,21326129,retrospective studies
17701,21326129,retrospective
17703,20394553,prospective studies
17704,20394553,prospective
17709,21208096,prospective studies
17710,21208096,prospective
17711,21545922,retrospective studies
17712,21545922,follow-up studies
17713,21545922,retrospective
17719,20090483,prospective studies
17720,20090483,prospective
17721,21716594,case-control studies
17722,21716594,cross-sectional studies
17723,21716594,case-control
17724,21716594,cross-sectional
17727,22132845,retrospective studies
17728,22132845,retrospective
17731,21720295,follow-up studies
17732,21720295,prospective studies
17733,21720295,longitudinal
17734,21720295,prospective
17737,21063232,case-control studies
17738,21063232,case-control
17739,21054240,case-control studies
17740,21054240,case-control
17741,21054240,cohort
17742,20962435,retrospective studies
17743,20962435,retrospective
17751,21124799,case-control studies
17752,21124799,cohort studies
17753,21124799,case-control
17754,21124799,cohort
17755,21078788,retrospective
17759,22118896,retrospective studies
17760,22118896,follow-up studies
17761,22118896,retrospective
17762,22118896,prospective
17764,21142817,case-control studies
17765,21142817,case-control
17766,20671275,case-control studies
17767,20671275,case-control
17774,21773967,cohort studies
17775,21773967,cohort
17776,20401438,prospective studies
17777,20401438,prospective
17778,20401438,cross-sectional
17783,21721270,follow-up studies
17785,20379454,cross-sectional studies
17786,20379454,cross-sectional
17787,20526624,prospective studies
17788,20526624,prospective
17789,21036005,prospective studies
17790,21036005,prospective
17798,21387129,cross-sectional studies
17799,21387129,cross-sectional
17800,22065933,case-control studies
17801,22065933,case-control
17807,21912063,follow-up studies
17810,20195406,retrospective studies
17811,20195406,retrospective
17812,20417566,case-control studies
17813,20417566,case-control
17814,21957950,follow-up studies
17819,20934171,prospective studies
17820,20934171,retrospective
17821,20934171,prospective
17823,21684605,cross-sectional studies
17824,21684605,cross-sectional
17825,21424183,case-control studies
17826,21424183,case-control
17827,21424183,cohort
17828,20960273,case-control studies
17829,20960273,case-control
17830,20426819,follow-up studies
17836,21823520,retrospective studies
17837,21823520,retrospective
17839,21170691,case-control studies
17840,21170691,case-control
17841,21170691,cohort
17842,20364568,retrospective studies
17843,20364568,retrospective
17844,21997826,retrospective studies
17845,21997826,retrospective
17847,21818129,cross-sectional studies
17848,21818129,cross-sectional
17850,21176818,case-control
17851,21176818,retrospective
17861,22132843,retrospective studies
17862,22132843,retrospective
17865,20822764,retrospective studies
17866,20822764,retrospective
17867,20592636,prospective
17869,22321417,retrospective studies
17870,22321417,retrospective
17874,21444648,cross-sectional studies
17875,21444648,cross-sectional
17880,21789006,retrospective studies
17881,21789006,cross-sectional studies
17882,21789006,retrospective
17883,21789006,cross-sectional
17888,21467606,case-control studies
17889,21467606,case-control
17890,20932180,retrospective studies
17891,20932180,retrospective
17892,20332709,case-control studies
17893,20332709,case-control
17896,20149767,cross-sectional studies
17897,20149767,cross-sectional
17903,20626413,case-control studies
17904,20626413,case-control
17905,20626413,cohort
17908,21198744,cohort
17915,21849528,cohort studies
17916,21849528,cohort
17917,21073613,case-control studies
17918,21073613,case-control
17925,21044109,case-control
17926,21044109,cohort
17929,20514596,retrospective
17931,21521291,retrospective
17932,21521291,cohort
17933,21521291,prospective
17936,21676374,prospective studies
17937,21676374,cross-sectional studies
17938,21676374,prospective
17939,21676374,cross-sectional
17940,21615338,case-control studies
17941,21615338,case-control
17942,20562664,retrospective studies
17943,20562664,retrospective
17946,20562667,prospective studies
17947,20562667,prospective
17954,22231972,prospective studies
17955,22231972,prospective
17958,21563916,prospective
17959,21310377,cross-sectional
17964,20889262,cohort studies
17965,20889262,cohort
17967,19882516,retrospective studies
17968,19882516,follow-up studies
17969,19882516,retrospective
17970,19882516,cohort
17971,21900946,case-control studies
17972,21900946,case-control
17973,20511632,follow-up studies
17976,20157407,retrospective studies
17977,20157407,retrospective
17984,21104639,retrospective studies
17985,21104639,retrospective
17986,20400062,case-control studies
17987,20400062,case-control
17990,21195738,case-control studies
17991,21195738,case-control
17994,22007486,case-control studies
17995,22007486,case-control
18006,20950255,retrospective studies
18007,20950255,retrospective
18009,21896990,case-control
18010,21875811,retrospective studies
18011,21875811,retrospective
18012,20938101,prospective studies
18013,20938101,prospective
18015,21987676,retrospective studies
18016,21987676,retrospective
18018,21713392,retrospective studies
18019,21713392,follow-up studies
18020,21713392,retrospective
18024,20977916,cohort
18028,22253487,retrospective studies
18029,22253487,retrospective
18032,21750342,retrospective studies
18033,21750342,retrospective
18034,19967675,follow-up studies
18051,21778095,retrospective studies
18052,21778095,follow-up studies
18053,21778095,retrospective
18057,21067483,case-control studies
18058,21067483,case-control
18059,20497087,follow-up studies
18063,20354521,cohort studies
18064,20354521,longitudinal studies
18065,20354521,cohort
18066,20354521,longitudinal
18069,20148377,cross-sectional studies
18070,20148377,cross-sectional
18072,20710148,follow-up studies
18078,21344427,retrospective studies
18079,21344427,retrospective
18083,20956436,case-control studies
18084,20956436,prospective studies
18085,20956436,case-control
18086,20956436,cohort
18087,20956436,prospective
18090,20356797,cohort
18093,20033860,retrospective studies
18094,20033860,retrospective
18095,21632812,retrospective studies
18096,21632812,follow-up studies
18097,21632812,retrospective
18106,20699506,case-control studies
18107,20699506,case-control
18113,21990079,follow-up studies
18114,20060940,prospective
18115,20646378,retrospective studies
18116,20646378,retrospective
18117,20581892,retrospective studies
18118,20581892,follow-up studies
18119,20581892,retrospective
18120,20698101,retrospective studies
18121,20698101,retrospective
18122,21112863,retrospective studies
18123,21112863,retrospective
18124,21418955,retrospective studies
18125,21418955,retrospective
18127,21971854,retrospective studies
18128,21971854,retrospective
18130,20887839,retrospective studies
18131,20887839,follow-up studies
18132,20887839,retrospective
18140,20552788,retrospective studies
18141,20552788,retrospective
18142,21528820,cohort studies
18143,21528820,cohort
18144,20437350,prospective
18151,21242329,retrospective studies
18152,21242329,retrospective
18160,20043163,prospective studies
18161,20043163,prospective
18162,22001131,retrospective studies
18163,22001131,cohort studies
18164,22001131,retrospective
18165,22001131,cohort
18166,21199224,retrospective studies
18167,21199224,follow-up studies
18168,21199224,retrospective
18170,21456477,retrospective studies
18171,21456477,retrospective
18174,21524033,prospective
18175,21500450,retrospective studies
18176,21500450,retrospective
18177,21973236,case-control studies
18178,21973236,prospective studies
18179,21973236,case-control
18180,21973236,prospective
18183,21042914,retrospective studies
18184,21042914,retrospective
18185,22093637,follow-up studies
18186,21465448,retrospective studies
18187,21465448,retrospective
18191,20646369,retrospective studies
18192,20646369,retrospective
18193,21924024,retrospective studies
18194,21924024,follow-up studies
18195,21924024,retrospective
18196,21715542,prospective studies
18197,21715542,prospective
18203,21196615,retrospective studies
18204,21196615,retrospective
18206,22299290,prospective
18207,21696099,cross-sectional studies
18208,21696099,cross-sectional
18209,20180280,retrospective studies
18210,20180280,retrospective
18211,20299111,retrospective
18212,20299111,cohort
18215,20883601,prospective studies
18216,20883601,cohort
18217,20883601,prospective
18223,21654133,case-control studies
18224,21654133,retrospective studies
18225,21654133,case-control
18226,21654133,retrospective
18232,22106244,retrospective studies
18233,22106244,retrospective
18234,20808986,retrospective studies
18235,20808986,retrospective
18236,20338609,retrospective studies
18237,20338609,prospective studies
18238,20338609,retrospective
18239,20338609,prospective
18242,21908653,prospective studies
18243,21908653,prospective
18247,21654353,retrospective studies
18248,21654353,retrospective
18249,21105043,cohort studies
18250,21105043,follow-up studies
18251,21105043,cohort
18252,21105043,prospective
18253,21190433,cohort
18255,21745108,retrospective studies
18256,21745108,retrospective
18259,20070635,case-control studies
18260,20070635,case-control
18261,21044113,retrospective
18262,21521301,case-control studies
18263,21521301,case-control
18264,20835708,prospective studies
18265,20835708,prospective
18267,20652586,retrospective studies
18268,20652586,cohort studies
18269,20652586,follow-up studies
18270,20652586,retrospective
18271,20652586,cohort
18281,21109079,retrospective studies
18282,21109079,cohort studies
18283,21109079,retrospective
18284,21109079,cohort
18288,21767747,prospective
18290,20190541,follow-up studies
18297,22204181,retrospective studies
18298,22204181,retrospective
18299,21460783,cross-sectional studies
18300,21460783,cross-sectional
18301,20682176,case-control studies
18302,20682176,case-control
18305,20386523,follow-up studies
18308,20085966,prospective studies
18309,20085966,cross-sectional studies
18310,20085966,prospective
18311,20085966,cross-sectional
18313,22144219,case-control studies
18314,22144219,case-control
18316,21043077,retrospective studies
18317,21043077,retrospective
18322,21339429,prospective studies
18323,21339429,prospective
18330,20881263,prospective studies
18331,20881263,prospective
18338,21029238,cohort studies
18339,21029238,cohort
18340,22089365,follow-up studies
18341,21155655,cross-sectional
18342,20874768,prospective studies
18343,20874768,retrospective
18344,20874768,prospective
18350,21267823,retrospective studies
18351,21267823,retrospective
18353,20718174,follow-up studies
18354,20718174,prospective studies
18355,20718174,prospective
18356,20356524,retrospective
18364,20559737,retrospective
18367,20556675,retrospective studies
18368,20556675,retrospective
18377,23016483,retrospective studies
18378,23016483,retrospective
18382,21158210,retrospective studies
18383,21158210,follow-up studies
18384,21158210,retrospective
18385,20461764,retrospective studies
18386,20461764,retrospective
18390,21046411,retrospective studies
18391,21046411,retrospective
18393,21830127,case-control studies
18394,21830127,case-control
18399,22155461,retrospective studies
18400,22155461,follow-up studies
18401,22155461,retrospective
18405,20348976,prospective studies
18406,20348976,prospective
18410,20940543,retrospective studies
18411,20940543,retrospective
18412,20940543,prospective
18413,20670863,follow-up studies
18414,20670863,prospective studies
18415,20670863,prospective
18421,20649081,cross-sectional
18422,20210672,retrospective studies
18423,20210672,cross-sectional studies
18424,20210672,retrospective
18425,20210672,cross-sectional
18426,21102590,cohort studies
18427,21102590,follow-up studies
18428,21102590,cohort
18441,21422654,follow-up studies
18442,21422654,cross-sectional studies
18443,21422654,cross-sectional
18445,20199177,cross-sectional studies
18446,20199177,cross-sectional
18454,20677997,retrospective
18456,21616234,retrospective studies
18457,21616234,retrospective
18458,21314363,follow-up studies
18459,21314363,prospective studies
18460,21314363,prospective
18461,20688462,prospective studies
18462,20688462,prospective
18463,21463783,retrospective studies
18464,21463783,cohort studies
18465,21463783,retrospective
18466,21463783,cohort
18468,21677043,cohort studies
18469,21677043,cohort
18473,21682184,retrospective studies
18474,21682184,retrospective
18476,20083557,retrospective studies
18477,20083557,retrospective
18479,21128799,cohort studies
18480,21128799,cohort
18485,21981779,case-control
18491,25058777,retrospective studies
18492,25058777,retrospective
18496,24622964,follow-up studies
18497,24666653,retrospective studies
18498,24666653,retrospective
18499,24666653,cross-sectional
18502,25976851,retrospective studies
18503,25976851,retrospective
18511,24791575,cross-sectional studies
18512,24791575,cross-sectional
18515,25752670,prospective studies
18516,25752670,prospective
18518,24820989,cross-sectional studies
18519,24820989,cross-sectional
18524,24943035,retrospective studies
18525,24943035,retrospective
18527,25157987,retrospective studies
18528,25157987,retrospective
18531,26513146,cross-sectional
18533,25691265,retrospective studies
18534,25691265,retrospective
18542,24415172,cross-sectional
18543,25338773,cross-sectional
18545,25340407,retrospective studies
18546,25340407,follow-up studies
18547,25340407,retrospective
18548,25340407,prospective
18555,25153684,cross-sectional studies
18556,25153684,cross-sectional
18559,24595482,prospective
18562,24502377,cross-sectional studies
18563,24502377,cross-sectional
18566,25002182,case-control studies
18567,25002182,longitudinal studies
18568,25002182,prospective studies
18569,25002182,case-control
18570,25002182,longitudinal
18571,25002182,prospective
18576,24880605,retrospective studies
18577,24880605,follow-up studies
18578,24880605,retrospective
18587,25789588,retrospective studies
18588,25789588,retrospective
18589,25432523,retrospective studies
18590,25432523,cohort studies
18591,25432523,follow-up studies
18592,25432523,retrospective
18593,25432523,cohort
18594,24519672,cross-sectional studies
18595,24519672,cross-sectional
18597,25594634,retrospective studies
18598,25594634,follow-up studies
18599,25594634,retrospective
18600,26218498,retrospective studies
18601,26218498,retrospective
18608,24906675,follow-up studies
18618,25047199,cross-sectional studies
18619,25047199,cross-sectional
18623,25602312,prospective studies
18624,25602312,prospective
18628,25592327,retrospective studies
18629,25592327,retrospective
18631,25867812,case-control studies
18632,25867812,case-control
18639,25047201,prospective
18640,25047201,cross-sectional
18645,24595624,retrospective studies
18646,24595624,retrospective
18647,24595624,cohort
18653,26337337,cohort
18663,25621464,retrospective studies
18664,25621464,retrospective
18665,24279482,follow-up studies
18671,25128909,retrospective
18672,24341527,cross-sectional
18674,24706172,retrospective studies
18675,24706172,prospective studies
18676,24706172,retrospective
18677,24706172,prospective
18679,25365200,follow-up studies
18680,25365200,prospective
18681,25896315,retrospective studies
18682,25896315,retrospective
18683,25896315,prospective
18686,25465459,follow-up studies
18690,24759378,prospective studies
18691,24759378,prospective
18715,24524468,retrospective studies
18716,24524468,retrospective
18717,26163018,retrospective studies
18718,26163018,retrospective
18721,26132181,cross-sectional studies
18722,26132181,cross-sectional
18723,24945422,follow-up studies
18724,24718523,cross-sectional studies
18725,24718523,cross-sectional
18732,26545695,cohort studies
18733,26545695,prospective studies
18734,26545695,cohort
18735,26545695,longitudinal
18736,26545695,prospective
18737,26826478,prospective studies
18738,26826478,cross-sectional studies
18739,26826478,prospective
18740,26826478,cross-sectional
18741,25666355,case-control studies
18742,25666355,case-control
18743,25950909,cohort studies
18744,25950909,cohort
18745,26827451,retrospective studies
18746,26827451,retrospective
18750,26188228,cross-sectional studies
18751,26188228,cross-sectional
18752,25167783,case-control studies
18753,25167783,prospective studies
18754,25167783,case-control
18755,25167783,prospective
18759,25804915,prospective
18761,26305196,retrospective studies
18762,26305196,retrospective
18764,24881131,retrospective studies
18765,24881131,retrospective
18766,25350184,retrospective studies
18767,25350184,retrospective
18768,26763840,retrospective studies
18769,26763840,retrospective
18770,25719296,retrospective studies
18771,25719296,follow-up studies
18772,25719296,retrospective
18774,25031137,cross-sectional studies
18775,25031137,cross-sectional
18778,26504073,retrospective studies
18779,26504073,follow-up studies
18780,26504073,retrospective
18783,25113865,retrospective studies
18784,25113865,retrospective
18791,24824803,case-control studies
18792,24824803,cross-sectional studies
18793,24824803,case-control
18794,24824803,prospective
18795,24824803,cross-sectional
18797,26030782,retrospective studies
18798,26030782,cross-sectional studies
18799,26030782,retrospective
18800,26030782,cross-sectional
18812,26405494,retrospective studies
18813,26405494,retrospective
18816,25627046,follow-up studies
18817,26514949,prospective studies
18818,26514949,prospective
18819,25245130,follow-up studies
18820,25245130,prospective studies
18821,25245130,prospective
18822,25731814,case-control studies
18823,25731814,case-control
18824,25502604,cohort studies
18825,25502604,follow-up studies
18826,25502604,prospective studies
18827,25502604,cohort
18828,25502604,longitudinal
18829,25502604,prospective
18833,25446486,follow-up studies
18834,25446486,prospective studies
18835,25446486,prospective
18840,25847147,retrospective studies
18841,25847147,cohort studies
18842,25847147,follow-up studies
18843,25847147,retrospective
18844,25847147,cohort
18846,25316492,retrospective studies
18847,25316492,follow-up studies
18848,25316492,retrospective
18854,25920711,retrospective studies
18855,25920711,follow-up studies
18856,25920711,retrospective
18857,25920711,cohort
18861,25714667,retrospective studies
18862,25714667,cohort studies
18863,25714667,retrospective
18864,25714667,cohort
18867,25931042,retrospective studies
18868,25931042,retrospective
18873,24513604,case-control studies
18874,24513604,retrospective studies
18875,24513604,case-control
18876,24513604,retrospective
18880,25081665,retrospective studies
18881,25081665,retrospective
18883,24522995,retrospective studies
18884,24522995,follow-up studies
18885,24522995,retrospective
18887,24682279,prospective studies
18888,24682279,prospective
18889,24535631,follow-up studies
18890,25965082,prospective
18891,26662651,retrospective studies
18892,26662651,retrospective
18893,25394566,retrospective studies
18894,25394566,cohort studies
18895,25394566,retrospective
18896,25394566,cohort
18897,24901098,cross-sectional studies
18898,24901098,cross-sectional
18899,26136132,retrospective studies
18900,26136132,retrospective
18902,26610563,cross-sectional studies
18903,26610563,cross-sectional
18904,25557494,retrospective studies
18905,25557494,prospective studies
18906,25557494,retrospective
18907,25557494,prospective
18908,24518168,retrospective studies
18909,24518168,follow-up studies
18910,24518168,retrospective
18911,25688363,cohort studies
18912,25688363,cohort
18914,25552154,retrospective studies
18915,25552154,retrospective
18916,25446471,retrospective studies
18917,25446471,retrospective
18918,26074258,retrospective studies
18919,26074258,follow-up studies
18920,26074258,retrospective
18921,24801193,cohort
18922,24366943,retrospective studies
18923,24366943,retrospective
18926,24791840,cohort studies
18927,24791840,prospective studies
18928,24791840,cross-sectional studies
18929,24791840,cohort
18930,24791840,prospective
18931,24791840,cross-sectional
18932,25627050,retrospective studies
18933,25627050,retrospective
18936,25043767,follow-up studies
18937,26254997,cohort studies
18938,26254997,cohort
18939,26254997,prospective
18943,25757198,retrospective studies
18944,25757198,retrospective
18945,25726089,retrospective studies
18946,25726089,retrospective
18947,25726089,cohort
18951,24726024,retrospective studies
18952,24726024,retrospective
18955,26219937,retrospective studies
18956,26219937,follow-up studies
18957,26219937,retrospective
18959,25342401,cohort studies
18960,25342401,prospective studies
18961,25342401,cohort
18962,25342401,prospective
18967,26499010,cohort studies
18968,26499010,prospective studies
18969,26499010,cross-sectional studies
18970,26499010,cohort
18971,26499010,prospective
18972,26499010,cross-sectional
18974,27509681,prospective
18975,24878049,case-control studies
18976,24878049,case-control
18977,24878049,cohort
18978,24795511,cross-sectional studies
18979,24795511,cross-sectional
18986,25914194,retrospective studies
18987,25914194,retrospective
18995,26939429,retrospective studies
18996,26939429,retrospective
19003,25563504,cross-sectional studies
19004,25563504,cross-sectional
19005,25066642,retrospective studies
19006,25066642,cohort studies
19007,25066642,retrospective
19008,25066642,cohort
19009,24500398,cross-sectional studies
19010,24500398,cross-sectional
19011,24670538,prospective studies
19012,24670538,prospective
19013,25564141,cohort studies
19014,25564141,cohort
19018,24604044,prospective
19019,25057879,cohort
19021,24937367,cohort studies
19022,24937367,longitudinal studies
19023,24937367,cohort
19024,24937367,longitudinal
19026,25016778,retrospective studies
19027,25016778,follow-up studies
19028,25016778,retrospective
19029,25308831,prospective studies
19030,25308831,prospective
19037,24554511,retrospective studies
19038,24554511,follow-up studies
19039,24554511,retrospective
19040,24554511,cohort
19041,24802734,prospective studies
19042,24802734,prospective
19043,24432992,prospective studies
19044,24432992,prospective
19046,24305924,prospective studies
19047,24305924,prospective
19048,24926901,retrospective studies
19049,24926901,longitudinal studies
19050,24926901,retrospective
19051,24926901,longitudinal
19054,25079457,case-control studies
19055,25079457,case-control
19059,24065418,cohort
19066,24989056,retrospective studies
19067,24989056,retrospective
19077,26905146,prospective studies
19078,26905146,cross-sectional studies
19079,26905146,prospective
19080,26905146,cross-sectional
19081,26031044,retrospective studies
19082,26031044,retrospective
19083,25600051,retrospective studies
19084,25600051,retrospective
19091,26591865,retrospective studies
19092,26591865,retrospective
19100,24756042,retrospective studies
19101,24756042,retrospective
19103,25584927,retrospective studies
19104,25584927,retrospective
19107,25648057,case-control studies
19108,25648057,case-control
19109,25648057,prospective
19111,24399250,longitudinal studies
19112,24399250,cross-sectional studies
19113,24399250,longitudinal
19114,24399250,cross-sectional
19118,24500936,cross-sectional studies
19119,24500936,cross-sectional
19129,24664351,cohort studies
19130,24664351,cohort
19131,26188756,retrospective studies
19132,26188756,retrospective
19133,25596664,retrospective studies
19134,25596664,retrospective
19135,24858628,prospective studies
19136,24858628,prospective
19141,24504143,retrospective studies
19142,24504143,retrospective
19146,25151403,prospective studies
19147,25151403,prospective
19151,24835350,case-control studies
19152,24835350,case-control
19153,25011453,follow-up studies
19154,25011453,prospective studies
19155,25011453,cohort
19156,25011453,prospective
19161,24684463,case-control studies
19162,24684463,case-control
19168,24968734,retrospective studies
19169,24968734,retrospective
19171,25856861,retrospective studies
19172,25856861,retrospective
19173,25856861,cohort
19174,25012831,retrospective studies
19175,25012831,retrospective
19176,25012831,prospective
19178,24661105,case-control studies
19179,24661105,case-control
19180,25144958,cross-sectional studies
19181,25144958,cross-sectional
19183,26463604,retrospective studies
19184,26463604,retrospective
19185,25827711,case-control studies
19186,25827711,prospective studies
19187,25827711,case-control
19188,25827711,prospective
19189,25255349,cross-sectional studies
19190,25255349,retrospective
19191,25255349,cross-sectional
19194,25332114,retrospective studies
19195,25332114,cohort studies
19196,25332114,retrospective
19197,25332114,cohort
19198,24256421,prospective studies
19199,24256421,prospective
19202,25501495,retrospective studies
19203,25501495,cohort studies
19204,25501495,retrospective
19205,25501495,cohort
19207,25951694,retrospective studies
19208,25951694,retrospective
19210,26352432,retrospective studies
19211,26352432,retrospective
19212,25903201,follow-up studies
19213,26142100,follow-up studies
19214,26142100,longitudinal studies
19215,26142100,cross-sectional studies
19216,26142100,longitudinal
19217,26142100,cross-sectional
19218,25953846,prospective studies
19219,25953846,cohort
19220,25953846,prospective
19222,25740065,retrospective studies
19223,25740065,prospective studies
19224,25740065,retrospective
19225,25740065,prospective
19227,24510380,follow-up studies
19231,25736544,follow-up studies
19234,24830583,case-control studies
19235,24830583,case-control
19237,25654307,follow-up studies
19238,25654307,prospective studies
19239,25654307,prospective
19242,24608325,retrospective studies
19243,24608325,retrospective
19244,24608325,cohort
19246,25305147,case-control studies
19247,25305147,case-control
19252,24144966,case-control studies
19253,24144966,cohort studies
19254,24144966,case-control
19255,24144966,cohort
19257,25321339,retrospective studies
19258,25321339,retrospective
19261,25430040,case-control studies
19262,25430040,case-control
19266,25746910,case-control studies
19267,25746910,retrospective studies
19268,25746910,cohort studies
19269,25746910,case-control
19270,25746910,retrospective
19271,25746910,cohort
19272,25677283,retrospective studies
19273,25677283,retrospective
19274,25343233,prospective studies
19275,25343233,prospective
19278,24805788,retrospective studies
19279,24805788,follow-up studies
19280,24805788,retrospective
